Filter,Selected Values,,,
Standard FS Family vCPUs,South India,0,4,0%
Standard FSv2 Family vCPUs,South India,0,4,0%
Standard FXmdsv2 Family vCPUs,South India,0,4,0%
Standard FXmsv2 Family vCPUs,South India,0,4,0%
Standard FXMDVS Family vCPUs,South India,0,0,0%
Standard G Family vCPUs,South India,0,4,0%
Standard GS Family vCPUs,South India,0,4,0%
Standard H Family vCPUs,South India,0,0,0%
Standard H Promo Family vCPUs,South India,0,0,0%
Standard HBrsv2 Family vCPUs,South India,0,0,0%
Standard HBv3 Family vCPUs,South India,0,0,0%
Standard HBv4 Family vCPUs,South India,0,0,0%
Standard HBS Family vCPUs,South India,0,0,0%
Standard HCS Family vCPUs,South India,0,0,0%
Standard HX Family vCPUs,South India,0,0,0%
InternalNDM Sv 1 Family vCPUs,South India,0,4,0%
Standard Laosv4 Family vCPUs,South India,0,4,0%
Standard LASv3 Family vCPUs,South India,0,4,0%
Standard Lasv 4 Family vCPUs,South India,0,4,0%
Standard LS Family vCPUs,South India,0,4,0%
Standard LSv2 Family vCPUs,South India,0,4,0%
Standard LSv3 Family vCPUs,South India,0,4,0%
Standard Lsv 4 Family vCPUs,South India,0,4,0%
Standard MS Family vCPUs,South India,0,0,0%
Standard MBDSMediumMemoryv3 Family vCPUs,South India,0,4,0%
Standard MBSMediumMemoryv3 Family vCPUs,South India,0,4,0%
Standard MDSMediumMemoryv2 Family vCPUs,South India,0,0,0%
Standard MSMediumMemoryv2 Family vCPUs,South India,0,0,0%
StandardMDS Medium Memoryv3 Family vCPUs,South India,0,0,0%
StandardMS Medium Memoryv3 Family vCPUs,South India,0,0,0%
Standard MIDSMediumMemoryv2 Family vCPUs,South India,0,0,0%
Standard MISMediumMemoryv2 Family vCPUs,South India,0,0,0%
Standard MSv2 Family vCPUs,South India,0,0,0%
StandardMDS High Memoryv3 Family vCPUs,South India,0,0,0%
StandardMS High Memoryv3 Family vCPUs,South India,0,0,0%
StandardMIDS High Memoryv3 Family vCPUs,South India,0,0,0%
StandardMIS High Memoryv3 Family vCPUs,South India,0,0,0%
Standard NC Family vCPUs,South India,0,6,0%
